Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Norway,1,7.537,1.616,1.534,0.797,0.635,0.316,0.362
Denmark,2,7.522,1.482,1.551,0.793,0.626,0.401,0.355
Iceland,3,7.504,1.481,1.611,0.834,0.627,0.154,0.476
Switzerland,4,7.494,1.565,1.517,0.858,0.620,0.367,0.291
Finland,5,7.469,1.444,1.540,0.809,0.618,0.383,0.245
Netherlands,6,7.377,1.504,1.429,0.811,0.585,0.283,0.470
Canada,7,7.316,1.479,1.481,0.835,0.611,0.287,0.436
New Zealand,8,7.314,1.406,1.548,0.817,0.614,0.383,0.500
Sweden,9,7.284,1.494,1.478,0.831,0.613,0.384,0.385
Australia,10,7.284,1.484,1.510,0.844,0.602,0.301,0.478
Israel,11,7.213,1.375,1.376,0.838,0.406,0.085,0.330
Costa Rica,12,7.079,1.110,1.416,0.760,0.580,0.100,0.215
Austria,13,7.006,1.487,1.460,0.815,0.568,0.221,0.316
United States,14,6.993,1.546,1.420,0.774,0.506,0.136,0.393
Ireland,15,6.977,1.536,1.558,0.810,0.573,0.298,0.428
Germany,16,6.951,1.488,1.473,0.799,0.563,0.277,0.336
Belgium,17,6.891,1.464,1.462,0.818,0.540,0.251,0.232
Luxembourg,18,6.863,1.742,1.458,0.845,0.597,0.319,0.283
United Kingdom,19,6.714,1.442,1.496,0.805,0.508,0.265,0.493
Chile,20,6.652,1.253,1.284,0.819,0.377,0.082,0.327
United Arab Emirates,21,6.648,1.626,1.266,0.727,0.608,0.324,0.361
Brazil,22,6.635,1.107,1.431,0.617,0.437,0.111,0.162
Czech Republic,23,6.609,1.353,1.434,0.754,0.491,0.037,0.088
Argentina,24,6.599,1.185,1.440,0.695,0.495,0.060,0.109
Mexico,25,6.578,1.153,1.211,0.710,0.413,0.133,0.121
Singapore,26,6.572,1.692,1.354,0.949,0.550,0.464,0.346
Malta,27,6.527,1.343,1.488,0.822,0.589,0.153,0.575
Uruguay,28,6.454,1.218,1.412,0.719,0.579,0.178,0.175
Guatemala,29,6.454,0.872,1.256,0.540,0.531,0.077,0.283
Panama,30,6.452,1.234,1.373,0.706,0.550,0.071,0.211
France,31,6.442,1.431,1.388,0.844,0.470,0.173,0.130
Thailand,32,6.424,1.128,1.426,0.647,0.580,0.032,0.572
Taiwan Province of China,33,6.422,1.434,1.385,0.794,0.361,0.064,0.258
Spain,34,6.403,1.384,1.532,0.889,0.409,0.071,0.190
Qatar,35,6.375,1.871,1.274,0.710,0.604,0.439,0.330
Colombia,36,6.357,1.071,1.402,0.595,0.477,0.047,0.149
Saudi Arabia,37,6.344,1.531,1.287,0.590,0.450,0.273,0.148
Trinidad and Tobago,38,6.168,1.361,1.380,0.520,0.519,0.009,0.325
Kuwait,39,6.105,1.633,1.260,0.632,0.496,0.215,0.228
Slovakia,40,6.098,1.325,1.505,0.713,0.296,0.024,0.137
Bahrain,41,6.087,1.488,1.323,0.653,0.537,0.257,0.173
Malaysia,42,6.084,1.291,1.285,0.619,0.402,0.066,0.417
Nicaragua,43,6.071,0.737,1.287,0.653,0.448,0.131,0.302
Ecuador,44,6.008,1.001,1.286,0.686,0.455,0.140,0.150
El Salvador,45,6.003,0.910,1.182,0.596,0.432,0.090,0.078
Poland,46,5.973,1.292,1.446,0.699,0.520,0.059,0.158
Uzbekistan,47,5.971,0.786,1.549,0.498,0.658,0.247,0.416
Italy,48,5.964,1.395,1.445,0.853,0.256,0.028,0.173
Russia,49,5.963,1.282,1.469,0.547,0.374,0.033,0.052
Belize,50,5.956,0.908,1.081,0.450,0.548,0.097,0.240
Japan,51,5.920,1.417,1.436,0.913,0.506,0.164,0.121
Lithuania,52,5.902,1.315,1.474,0.629,0.234,0.012,0.010
Algeria,53,5.872,1.092,1.146,0.618,0.233,0.146,0.069
Latvia,54,5.850,1.261,1.405,0.639,0.326,0.074,0.153
South Korea,55,5.838,1.402,1.128,0.900,0.258,0.063,0.207
Moldova,56,5.838,0.729,1.252,0.589,0.241,0.010,0.209
Romania,57,5.825,1.218,1.150,0.685,0.457,0.004,0.134
Bolivia,58,5.823,0.834,1.228,0.474,0.559,0.060,0.226
